unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url
4535,3136,290,1,"Renan Barao",1,37,70,0,0,0,0:14,0,0,13,38,1,5,3,3,10,29,5,12,2,5,3136,"UFC 169: Barao vs Faber 2","Renan Barao","Urijah Faber",Bantamweight,KO/TKO,Punch,1,3:42,4c9047d1c1bc1e29
4536,3136,290,1,"Urijah Faber",0,9,32,0,2,0,0:00,0,0,3,22,3,6,2,3,5,24,3,7,0,0,3136,"UFC 169: Barao vs Faber 2","Renan Barao","Urijah Faber",Bantamweight,KO/TKO,Punch,1,3:42,4c9047d1c1bc1e29
4537,693,63,1,"Petr Yan",0,16,35,0,0,0,0:00,0,0,9,25,4,6,2,3,10,27,5,7,0,0,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4538,693,63,1,"Urijah Faber",0,12,38,0,2,0,0:00,0,0,6,25,2,8,1,2,7,32,2,3,0,0,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4539,693,63,2,"Petr Yan",2,40,71,2,2,0,1:25,0,1,27,57,6,7,0,0,12,38,7,8,14,18,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4540,693,63,2,"Urijah Faber",0,16,43,0,1,0,0:16,0,0,8,35,0,0,1,1,8,34,1,2,0,0,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4541,693,63,3,"Petr Yan",1,6,10,0,0,0,0:01,0,0,4,8,1,1,1,1,4,8,2,2,0,0,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4542,693,63,3,"Urijah Faber",0,0,5,0,0,0,0:00,0,0,0,4,0,1,0,0,0,5,0,0,0,0,693,"UFC 245: Usman vs. Covington","Petr Yan","Urijah Faber",Bantamweight,KO/TKO,Kick,3,0:43,a0c82ba11a373008
4543,1909,179,1,"Dominick Cruz",0,19,34,1,3,0,1:54,1,1,5,19,2,2,3,3,8,22,2,2,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4544,1909,179,1,"Urijah Faber",0,15,24,1,1,0,0:11,0,0,4,13,0,0,0,0,1,10,3,3,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4545,1909,179,2,"Dominick Cruz",1,23,60,0,0,0,0:08,0,0,13,47,2,4,6,7,19,54,0,0,2,4,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4546,1909,179,2,"Urijah Faber",0,6,29,0,2,0,0:00,0,0,5,26,0,2,1,1,4,27,1,1,1,1,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4547,1909,179,3,"Dominick Cruz",0,21,65,0,1,0,0:00,0,0,16,55,1,5,4,5,19,61,2,4,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4548,1909,179,3,"Urijah Faber",0,10,40,0,2,0,0:00,0,0,6,34,4,6,0,0,8,37,2,3,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4549,1909,179,4,"Dominick Cruz",0,18,57,0,0,0,0:04,0,0,14,51,2,4,2,2,16,51,0,2,2,4,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4550,1909,179,4,"Urijah Faber",0,7,44,0,1,0,0:00,0,0,5,40,1,3,1,1,7,44,0,0,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
4551,1909,179,5,"Dominick Cruz",0,18,59,2,3,0,1:20,0,1,14,51,1,4,2,2,15,55,2,2,0,0,1909,"UFC 199: Rockhold vs. Bisping 2","Dominick Cruz","Urijah Faber",Bantamweight,U-DEC,NULL,5,5:00,9c884cbc3791bf60
